,accuracy,f1,iou,model,pr_auc,precision,recall
10,0.9853973388671875,0.9915264242159508,0.9831952447986326,SoilB-2,0.999785489415592,0.9887919235920001,0.9942760912865772
10,0.9851277669270834,0.9914040451552212,0.9829546116985928,carb96558_SoilB-2_Urna_22,0.9997658166217406,0.9905857402604269,0.9922237031414121
10,0.9848276774088541,0.9912728017436843,0.9826966135712379,SoilB-2_Urna_22,0.9997581405238796,0.9909567903039945,0.9915890147967784
10,0.9847844441731771,0.9911151437570631,0.9823867784555239,carb96558,0.9997243295365135,0.9884656056445665,0.9937789239831564
10,0.9842478434244791,0.9908821659051298,0.9819290992849244,Urna_22,0.9997479900548154,0.990826741403014,0.9909375966082233
10,0.9835993448893229,0.9904941312426022,0.9811672838136177,carb96558_soilB-2,0.9997335871586704,0.9858773474178404,0.9951543585596953
10,0.983551025390625,0.9902985432815762,0.9807835144658423,carb96558_Urna_22,0.9996936089657557,0.9885193081640475,0.9920841948357936
