,accuracy,precision,recall,f1,pr_auc,iou,model
3,0.9922383626302084,0.9692752575456353,0.9754101342257466,0.9723330190731744,0.9976365919414403,0.9461557460922339,all_stacks
1,0.9897308349609375,0.9388918650034438,0.983092271324973,0.9604838236157597,0.9945859372103636,0.9239719837324898,SoilB-2
1,0.989501953125,0.9333028870974147,0.9839027045131039,0.9579350683758941,0.9940369585070483,0.9192661985879408,SoilB-2_Urna_22
1,0.9884414672851562,0.9171228804002378,0.9888795542978422,0.9516504792400242,0.9943105089668618,0.9077606851483541,carb96558_soilB-2
1,0.9868621826171875,0.9059680379262884,0.9948152812762384,0.9483151912918202,0.9947435291887977,0.9017104587225785,carb96558_SoilB-2_Urna_22
1,0.9598897298177084,0.7778768198989771,0.998673956876351,0.8745545940442861,0.9936659165004322,0.7770742049469964,Urna_22
1,0.96234130859375,0.7619789890723692,0.996834972491875,0.8637267172200545,0.9923328599396537,0.7601399507580666,carb96558
1,0.9634958902994791,0.7573450330334431,0.9968541446644047,0.8607489328676755,0.9898899378527313,0.7555392816390483,carb96558_Urna_22
