,accuracy,precision,recall,f1,pr_auc,iou,model
4,0.9915644327799479,0.9624995784574917,0.9282833539322188,0.9450818722164275,0.9915483710551574,0.895881725155377,SoilB-2_Urna_22
4,0.9897740681966146,0.9584103512014788,0.9310063389286395,0.9445096118018852,0.9905581404050191,0.8948538256367344,carb96558_SoilB-2_Urna_22
4,0.9914983113606771,0.9310534375122698,0.9372727272727273,0.9341527309972621,0.9867052893319108,0.8764414547604967,carb96558_soilB-2
4,0.9895553588867188,0.9085238406270412,0.9551587982832618,0.9312578458448405,0.9879327062692963,0.8713587671490322,SoilB-2
4,0.9877115885416666,0.8934080443113387,0.9479924824876131,0.9198912430783515,0.9849697404722895,0.8516653875671527,carb96558
4,0.9845657348632812,0.8788605167541381,0.9648743732513366,0.9198610872694142,0.9881286500594424,0.8516136919315404,carb96558_Urna_22
4,0.9848454793294271,0.8453427561837455,0.9839431429323506,0.9093922483920507,0.9908923674802348,0.8338398906951454,Urna_22
