,accuracy,f1,iou,model,pr_auc,precision,recall
9,0.9909769694010416,0.9734192388372791,0.9482149633651517,carb96558_SoilB-2_Urna_22,0.9981476103557292,0.9627873201238941,0.9842885929427451
9,0.9901301066080729,0.9711520593460341,0.9439218576155591,carb96558_soilB-2,0.997936893007088,0.9559669276359113,0.9868273965980845
9,0.9904530843098959,0.9690697866029497,0.9399955244397558,carb96558_Urna_22,0.9976625057775151,0.9539010543390105,0.9847287340924313
9,0.9905853271484375,0.9687452510004559,0.9393850083505256,SoilB-2_Urna_22,0.9975024440003246,0.9553242860711015,0.9825486804473292
9,0.9898223876953125,0.9675077942322682,0.9370606275064873,Urna_22,0.9975061830132345,0.9501506960723342,0.9855108420582543
9,0.9881464640299479,0.9628780095413312,0.9284134541545077,carb96558,0.99730291135184,0.9372955204440792,0.9898961779058724
9,0.9822362263997396,0.9459461550962289,0.8974362739339833,SoilB-2,0.9975804511634692,0.8986238127444349,0.998529627995883
