,accuracy,precision,recall,f1,pr_auc,iou,model
5,0.9975624084472656,0.9810162270534427,0.9789921220457671,0.9800031294007198,0.9986329650208051,0.9607903295084985,all_stacks
3,0.9911003112792969,0.9734731881579447,0.94,0.9564438138267087,0.9944983570089317,0.916523543724059,Urna_22
3,0.9936103820800781,0.9973690504663956,0.9109278575719513,0.9521906664763807,0.9977754907834919,0.9087442113865432,SoilB-2_Urna_22
3,0.9940834045410156,0.9607625514134621,0.9393591216647517,0.9499402898363619,0.9933407455458123,0.9046535931640745,carb96558_SoilB-2_Urna_22
3,0.993988037109375,0.9969545208446129,0.9058541384823515,0.9492235324441008,0.9971447740412034,0.9033543876862697,SoilB-2
3,0.9936752319335938,0.9958017894012389,0.9005975351674343,0.9458099097921298,0.9964733391833089,0.897191046071805,carb96558_soilB-2
3,0.9898033142089844,0.9422923852480765,0.9396745601270009,0.9409816519838379,0.9904178342869908,0.8885414060545409,carb96558
3,0.9888191223144531,0.894634714271854,0.960470808812041,0.9263845284440537,0.9888914017998236,0.8628643615776915,carb96558_Urna_22
