,accuracy,precision,recall,f1,pr_auc,iou,model
7,0.9951731363932291,0.9790549530298754,0.9826204831465221,0.9808344777445673,0.9988649744839888,0.9623897750916477,all_stacks
6,0.9913558959960938,0.9530726256983241,0.9760345813997838,0.9644169467039352,0.9965772560525444,0.9312791896645842,Urna_22
6,0.9901021321614584,0.995308574120603,0.9327973803304022,0.9630396383734402,0.9980842669306955,0.928714031906515,SoilB-2_Urna_22
6,0.9900156656901041,0.9884495955380629,0.9373206549260114,0.9622063919907585,0.9954096985669904,0.9271654638888374,carb96558
6,0.9906489054361979,0.9954009283311331,0.9310708808826751,0.9621618284161889,0.9973914603895762,0.9270827136256371,carb96558_soilB-2
6,0.9923095703125,0.9912993940649438,0.9343910178179156,0.9620043222596372,0.9960000216566569,0.9267902968091802,carb96558_SoilB-2_Urna_22
6,0.9889119466145834,0.9920604332074309,0.9287724615717687,0.9593738352590385,0.9966037302765324,0.921919770773639,carb96558_Urna_22
6,0.9908676147460938,0.9944074504135169,0.9259676066904983,0.9589679719368807,0.997589370718889,0.9211704789919656,SoilB-2
