,accuracy,precision,recall,f1,pr_auc,iou,model
5,0.9973195393880209,0.9734929223369951,0.9690441216473532,0.9712634276678118,0.9972436932874866,0.9441323014947525,SoilB-2_Urna_22
5,0.9965871175130209,0.9691007583965331,0.9726414684006786,0.9708678852081796,0.9970162718993417,0.9433850826864664,carb96558_soilB-2
1,0.9964777628580729,0.9540030697628361,0.976880957209491,0.9653064802985898,0.9959607474423434,0.9329395245242822,all_stacks
5,0.99542236328125,0.9419272741294875,0.988107277213705,0.9644648004106289,0.9971174289907414,0.9313684371067983,carb96558_SoilB-2_Urna_22
5,0.9961140950520834,0.9618540173519426,0.9659532152665972,0.9638992581392052,0.9958603168708899,0.930314224472112,SoilB-2
5,0.9840774536132812,0.8234208658623137,0.9985884459133788,0.902584369311198,0.9962910301583463,0.8224635626382352,Urna_22
5,0.9880193074544271,0.8220388462885836,0.9934612851632326,0.8996570746980767,0.9929132696528938,0.8176151761517615,carb96558
5,0.9857864379882812,0.7983601132477847,0.9951874598954992,0.8859736815260635,0.993186229035426,0.7952897223646619,carb96558_Urna_22
