,accuracy,precision,recall,f1,pr_auc,iou,model
8,0.9967447916666666,0.9829042318286325,0.9878966755897225,0.9853941302661007,0.999306839263746,0.9712087813216969,all_stacks
7,0.9941736857096354,0.9926954164365681,0.9518617469372036,0.9718498494808625,0.9981494371609156,0.9452411683158851,carb96558_Urna_22
7,0.9935379028320312,0.9895098530014108,0.9543509272467903,0.9716124275228742,0.9972743313730676,0.9447920740451049,carb96558
7,0.9939676920572916,0.9885048295681328,0.9503696692164036,0.9690622146863179,0.996789496427307,0.9399812757774347,carb96558_SoilB-2_Urna_22
7,0.9939931233723959,0.9937314509194797,0.9437346890393278,0.9680879809770861,0.9978043370150681,0.9381497289795491,carb96558_soilB-2
7,0.9929758707682291,0.9538114462123011,0.9800644185252062,0.9667597361960236,0.9970367818322208,0.9356582104502994,Urna_22
7,0.9931640625,0.9957834999602218,0.9368996232440929,0.965444541574536,0.9983350921763636,0.9331974750236095,SoilB-2_Urna_22
7,0.9929606119791666,0.9953297216514104,0.934994610042869,0.9642192347466392,0.9982386589589932,0.9309105431309904,SoilB-2
