,accuracy,f1,iou,model,pr_auc,precision,recall
8,0.9927724202473959,0.9713051028856445,0.9442110635624829,carb96558_SoilB-2_Urna_22,0.9976666571479026,0.9514578470546347,0.9919980201286916
8,0.9927902221679688,0.9694639221895499,0.940737489025461,SoilB-2_Urna_22,0.9974984836973992,0.949490474080638,0.9902957486136784
8,0.9918492635091146,0.9693345452805817,0.9404938730040847,carb96558_Urna_22,0.9977597158232367,0.9471765145848915,0.9925541295189576
8,0.9914016723632812,0.9665952002213154,0.9353500200776336,Urna_22,0.997371798977778,0.9435956790123456,0.9907439288680048
8,0.99163818359375,0.9645261522527189,0.9314828707176794,carb96558_soilB-2,0.9962869679410994,0.9486015024829166,0.980994601237765
8,0.989898681640625,0.9538611653192083,0.9117921385742838,carb96558,0.9961673686402504,0.9207894146669657,0.9893970793773194
8,0.9835230509440104,0.9318494987850928,0.8723953204395951,SoilB-2,0.9962790964783641,0.8742376694890165,0.9975901986397009
