,accuracy,f1,iou,model,pr_auc,precision,recall
2,0.9855168660481771,0.9236707724062135,0.8581675092770155,carb96558_SoilB-2_Urna_22,0.9818755019270207,0.9212383702277831,0.926116053430806
2,0.9836934407552084,0.9198439882991224,0.8515843807143022,SoilB-2,0.9839750449531388,0.9590730168660879,0.8836980280066293
2,0.9869384765625,0.9197825883234935,0.8514791359417021,carb96558_soilB-2,0.9810237828978805,0.9146398285341534,0.9249835076807087
2,0.9849904378255209,0.9146986558751266,0.8428061577797902,carb96558,0.9784484291848763,0.910775961317062,0.9186552865354468
2,0.97955322265625,0.8979902557856274,0.8148659850787511,carb96558_Urna_22,0.977178231353396,0.8565826737346598,0.9436045116390689
2,0.9781392415364584,0.8963538149898717,0.812174977057204,Urna_22,0.9794827938584544,0.8409882800126702,0.9595229490422841
2,0.9770787556966146,0.8877486206767714,0.7981546592614158,SoilB-2_Urna_22,0.9788233276401457,0.8233799237611181,0.9630350194552529
